location,year,mid,high
Naval Sub Base Kings Bay,2019,0,0
Naval Sub Base Kings Bay,2050,1.1,1.7
Naval Sub Base Kings Bay,2070,1.9,3.1
Naval Sub Base Kings Bay,2100,3.7,6.1
